 TIME                    ,±ÃÊýÁ¿                   ,±ÃÆµÂÊ                   ,ÀäÈ´ËþÊýÁ¿               ,ÀäÈ´ËþÆµÂÊ               ,
  +4.3440000000000000E+03,  +2.0000000000000000E+00,  +5.0000000000000000E+01,  +2.0000000000000000E+00,  +3.8000000000000000E+01,
  +4.3441000000000004E+03,  +2.0000000000000000E+00,  +4.7000000000000000E+01,  +2.0000000000000000E+00,  +4.7000000000000000E+01,
  +4.3441999999999998E+03,  +2.0000000000000000E+00,  +4.4000000000000000E+01,  +2.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.3443000000000002E+03,  +2.0000000000000000E+00,  +4.4000000000000000E+01,  +1.0000000000000000E+00,  +4.7000000000000000E+01,
  +4.3443999999999996E+03,  +2.0000000000000000E+00,  +4.7000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.3445000000000000E+03,  +2.0000000000000000E+00,  +4.7000000000000000E+01,  +2.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.3446000000000004E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +2.0000000000000000E+00,  +3.8000000000000000E+01,
  +4.3446999999999998E+03,  +2.0000000000000000E+00,  +3.8000000000000000E+01,  +2.0000000000000000E+00,  +4.4000000000000000E+01,
  +4.3448000000000002E+03,  +1.0000000000000000E+00,  +5.0000000000000000E+01,  +2.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.3448999999999996E+03,  +1.0000000000000000E+00,  +4.1000000000000000E+01,  +2.0000000000000000E+00,  +4.4000000000000000E+01,
  +4.3450000000000000E+03,  +1.0000000000000000E+00,  +4.7000000000000000E+01,  +2.0000000000000000E+00,  +5.0000000000000000E+01,
  +4.3451000000000004E+03,  +1.0000000000000000E+00,  +5.0000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.3451999999999998E+03,  +2.0000000000000000E+00,  +3.8000000000000000E+01,  +2.0000000000000000E+00,  +3.8000000000000000E+01,
  +4.3453000000000002E+03,  +2.0000000000000000E+00,  +3.8000000000000000E+01,  +2.0000000000000000E+00,  +4.4000000000000000E+01,
  +4.3453999999999996E+03,  +1.0000000000000000E+00,  +4.1000000000000000E+01,  +2.0000000000000000E+00,  +4.4000000000000000E+01,
  +4.3455000000000000E+03,  +2.0000000000000000E+00,  +4.7000000000000000E+01,  +1.0000000000000000E+00,  +4.4000000000000000E+01,
  +4.3456000000000004E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.8000000000000000E+01,
  +4.3456999999999998E+03,  +2.0000000000000000E+00,  +4.1000000000000000E+01,  +1.0000000000000000E+00,  +4.4000000000000000E+01,
  +4.3458000000000002E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.4000000000000000E+01,
  +4.3458999999999996E+03,  +2.0000000000000000E+00,  +4.7000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
