 TIME                    ,ÏµÍ³COP                  ,Time                     ,¸ººÉ                     ,
  +4.3440000000000000E+03,  +1.2438447659999999E+03,  +4.3441000000000004E+03,  +1.2438447659999999E+03,
  +4.3441000000000004E+03,  +3.1038054006122695E+00,  +4.3441999999999998E+03,  +1.5038991460000000E+03,
  +4.3441999999999998E+03,  +3.7071661943176810E+00,  +4.3443000000000002E+03,  +1.6838990440000000E+03,
  +4.3443000000000002E+03,  +3.9978207884474033E+00,  +4.3443999999999996E+03,  +1.8756628890000000E+03,
  +4.3443999999999996E+03,  +3.4412486457863167E+00,  +4.3445000000000000E+03,  +1.4379653010000000E+03,
  +4.3445000000000000E+03,  +3.5857063548343313E+00,  +4.3446000000000004E+03,  +1.6578044390000000E+03,
  +4.3446000000000004E+03,  +4.4432292368310176E+00,  +4.3446999999999998E+03,  +1.2921627129999999E+03,
  +4.3446999999999998E+03,  +3.7642969899024918E+00,  +4.3448000000000002E+03,  +1.3968683710000000E+03,
  +4.3448000000000002E+03,  +3.2764025771329748E+00,  +4.3448999999999996E+03,  +1.0677555199999999E+03,
  +4.3448999999999996E+03,  +3.3681040447967510E+00,  +4.3450000000000000E+03,  +9.3383389339999997E+02,
  +4.3450000000000000E+03,  +3.7513842330100617E+00,  +4.3451000000000004E+03,  +1.6675826219999999E+03,
  +4.3451000000000004E+03,  +4.4256061395160344E+00,  +4.3451999999999998E+03,  +1.8826627880000001E+03,
  +4.3451999999999998E+03,  +3.5544394665509991E+00,  +4.3453000000000002E+03,  +1.0210722190000000E+03,
  +4.3453000000000002E+03,  +3.3904971796824626E+00,  +4.3453999999999996E+03,  +1.0800090250000001E+03,
  +4.3453999999999996E+03,  +3.6685264155767423E+00,  +4.3455000000000000E+03,  +1.1327598900000000E+03,
  +4.3455000000000000E+03,  +3.1625023887964594E+00,  +4.3456000000000004E+03,  +1.2786270800000000E+03,
  +4.3456000000000004E+03,  +4.0247558854337324E+00,  +4.3456999999999998E+03,  +9.1729390550000005E+02,
  +4.3456999999999998E+03,  +3.2873411292809700E+00,  +4.3458000000000002E+03,  +9.8236214050000001E+02,
  +4.3458000000000002E+03,  +4.7256699290070019E+00,  +4.3458999999999996E+03,  +1.4522810950000001E+03,
  +4.3458999999999996E+03,  +3.0620656335031127E+00,  +4.3460000000000000E+03,  +1.1133890230000000E+03,
  +4.3460000000000000E+03,  +2.8993198978051340E+00,  +4.3461000000000004E+03,  +1.1397510279999999E+03,
  +4.3461000000000004E+03,  +4.1613587662949989E+00,  +4.3461999999999998E+03,  +1.9509108170000000E+03,
  +4.3461999999999998E+03,  +3.9715955326018131E+00,  +4.3463000000000002E+03,  +1.5033047509999999E+03,
  +4.3463000000000002E+03,  +3.8265731248095567E+00,  +4.3463999999999996E+03,  +1.2115013819999999E+03,
  +4.3463999999999996E+03,  +3.8000240080063770E+00,  +4.3465000000000000E+03,  +1.2758227079999999E+03,
  +4.3465000000000000E+03,  +2.9729197259263103E+00,  +4.3466000000000004E+03,  +1.0978366240000000E+03,
  +4.3466000000000004E+03,  +4.1930730869902746E+00,  +4.3466999999999998E+03,  +1.4437608849999999E+03,
