 TIME                    ,时间                     ,负荷                     ,湿球温度                 ,冷机开启台数             ,
  +4.3440000000000000E+03,  +4.3441000000000004E+03,  +1.2438447659999999E+03,  +2.5350315656579415E+01,  +0.0000000000000000E+00,
  +4.3441000000000004E+03,  +4.3441999999999998E+03,  +1.5038991460000000E+03,  +2.5321951816569854E+01,  +1.0000000000000000E+00,
  +4.3441999999999998E+03,  +4.3443000000000002E+03,  +1.6838990440000000E+03,  +2.5265230528448683E+01,  +1.0000000000000000E+00,
  +4.3443000000000002E+03,  +4.3443999999999996E+03,  +1.8756628890000000E+03,  +2.5208517863965675E+01,  +1.0000000000000000E+00,
  +4.3443999999999996E+03,  +4.3445000000000000E+03,  +1.4379653010000000E+03,  +2.5151199993086855E+01,  +1.0000000000000000E+00,
  +4.3445000000000000E+03,  +4.3446000000000004E+03,  +1.6578044390000000E+03,  +2.5094456814909243E+01,  +1.0000000000000000E+00,
  +4.3446000000000004E+03,  +4.3446999999999998E+03,  +1.2921627129999999E+03,  +2.5037720358469592E+01,  +1.0000000000000000E+00,
  +4.3446999999999998E+03,  +4.3448000000000002E+03,  +1.3968683710000000E+03,  +2.4980990703051194E+01,  +1.0000000000000000E+00,
  +4.3448000000000002E+03,  +4.3448999999999996E+03,  +1.0677555199999999E+03,  +2.4924267928267913E+01,  +1.0000000000000000E+00,
  +4.3448999999999996E+03,  +4.3450000000000000E+03,  +9.3383389339999997E+02,  +2.4867552114067266E+01,  +1.0000000000000000E+00,
  +4.3450000000000000E+03,  +4.3451000000000004E+03,  +1.6675826219999999E+03,  +2.4810843340727196E+01,  +1.0000000000000000E+00,
  +4.3451000000000004E+03,  +4.3451999999999998E+03,  +1.8826627880000001E+03,  +2.4775115738368896E+01,  +1.0000000000000000E+00,
  +4.3451999999999998E+03,  +4.3453000000000002E+03,  +1.0210722190000000E+03,  +2.4760344792212223E+01,  +1.0000000000000000E+00,
  +4.3453000000000002E+03,  +4.3453999999999996E+03,  +1.0800090250000001E+03,  +2.4745548295949046E+01,  +1.0000000000000000E+00,
  +4.3453999999999996E+03,  +4.3455000000000000E+03,  +1.1327598900000000E+03,  +2.4730726283413873E+01,  +1.0000000000000000E+00,
  +4.3455000000000000E+03,  +4.3456000000000004E+03,  +1.2786270800000000E+03,  +2.4715878788347485E+01,  +1.0000000000000000E+00,
  +4.3456000000000004E+03,  +4.3456999999999998E+03,  +9.1729390550000005E+02,  +2.4701005844397816E+01,  +1.0000000000000000E+00,
  +4.3456999999999998E+03,  +4.3458000000000002E+03,  +9.8236214050000001E+02,  +2.4686107485120317E+01,  +1.0000000000000000E+00,
  +4.3458000000000002E+03,  +4.3458999999999996E+03,  +1.4522810950000001E+03,  +2.4671183743977476E+01,  +1.0000000000000000E+00,
  +4.3458999999999996E+03,  +4.3460000000000000E+03,  +1.1133890230000000E+03,  +2.4656234654340260E+01,  +1.0000000000000000E+00,
  +4.3460000000000000E+03,  +4.3461000000000004E+03,  +1.1397510279999999E+03,  +2.4641260249487093E+01,  +1.0000000000000000E+00,
  +4.3461000000000004E+03,  +4.3461999999999998E+03,  +1.9509108170000000E+03,  +2.4626260562605001E+01,  +1.0000000000000000E+00,
  +4.3461999999999998E+03,  +4.3463000000000002E+03,  +1.5033047509999999E+03,  +2.4611843964479924E+01,  +1.0000000000000000E+00,
  +4.3463000000000002E+03,  +4.3463999999999996E+03,  +1.2115013819999999E+03,  +2.4596767663679568E+01,  +1.0000000000000000E+00,
  +4.3463999999999996E+03,  +4.3465000000000000E+03,  +1.2758227079999999E+03,  +2.4581666945518471E+01,  +1.0000000000000000E+00,
  +4.3465000000000000E+03,  +4.3466000000000004E+03,  +1.0978366240000000E+03,  +2.4566541829922045E+01,  +1.0000000000000000E+00,
  +4.3466000000000004E+03,  +4.3466999999999998E+03,  +1.4437608849999999E+03,  +2.4551392336826261E+01,  +1.0000000000000000E+00,
  +4.3466999999999998E+03,  +4.3468000000000002E+03,  +1.7337160750000000E+03,  +2.4536218486178353E+01,  +1.0000000000000000E+00,
  +4.3468000000000002E+03,  +4.3468999999999996E+03,  +1.2800338630000001E+03,  +2.4521020297935170E+01,  +1.0000000000000000E+00,
  +4.3468999999999996E+03,  +4.3470000000000000E+03,  +1.5771920500000001E+03,  +2.4505797792064865E+01,  +1.0000000000000000E+00,
  +4.3470000000000000E+03,  +4.3471000000000004E+03,  +1.2103992220000000E+03,  +2.4490550988544857E+01,  +1.0000000000000000E+00,
  +4.3471000000000004E+03,  +4.3471999999999998E+03,  +1.2666676239999999E+03,  +2.4482094162480955E+01,  +1.0000000000000000E+00,
  +4.3471999999999998E+03,  +4.3473000000000002E+03,  +9.9979725129999997E+02,  +2.4480399057071136E+01,  +1.0000000000000000E+00,
  +4.3473000000000002E+03,  +4.3473999999999996E+03,  +1.3163326050000001E+03,  +2.4478642071976619E+01,  +1.0000000000000000E+00,
  +4.3473999999999996E+03,  +4.3475000000000000E+03,  +1.0924091739999999E+03,  +2.4476823299687048E+01,  +1.0000000000000000E+00,
  +4.3475000000000000E+03,  +4.3476000000000004E+03,  +1.6234586820000000E+03,  +2.4474942832730722E+01,  +1.0000000000000000E+00,
  +4.3476000000000004E+03,  +4.3476999999999998E+03,  +1.3292617900000000E+03,  +2.4473000763673522E+01,  +1.0000000000000000E+00,
  +4.3476999999999998E+03,  +4.3478000000000002E+03,  +1.0372116300000000E+03,  +2.4470997185117806E+01,  +1.0000000000000000E+00,
  +4.3478000000000002E+03,  +4.3478999999999996E+03,  +1.9007125220000000E+03,  +2.4468932189700894E+01,  +1.0000000000000000E+00,
  +4.3478999999999996E+03,  +4.3480000000000000E+03,  +1.1313229510000001E+03,  +2.4466805870093854E+01,  +1.0000000000000000E+00,
  +4.3480000000000000E+03,  +4.3481000000000004E+03,  +1.1931482699999999E+03,  +2.4464618319000454E+01,  +1.0000000000000000E+00,
  +4.3481000000000004E+03,  +4.3481999999999998E+03,  +1.2520655970000000E+03,  +2.4469072263198683E+01,  +1.0000000000000000E+00,
  +4.3481999999999998E+03,  +4.3483000000000002E+03,  +1.3105703180000000E+03,  +2.4480130196206865E+01,  +1.0000000000000000E+00,
  +4.3483000000000002E+03,  +4.3483999999999996E+03,  +1.5017844720000001E+03,  +2.4491077147056533E+01,  +1.0000000000000000E+00,
  +4.3483999999999996E+03,  +4.3485000000000000E+03,  +1.2425441579999999E+03,  +2.4501913332675748E+01,  +1.0000000000000000E+00,
  +4.3485000000000000E+03,  +4.3486000000000004E+03,  +1.7905296740000001E+03,  +2.4512638970099768E+01,  +1.0000000000000000E+00,
  +4.3486000000000004E+03,  +4.3486999999999998E+03,  +1.5470522970000000E+03,  +2.4523254276466240E+01,  +1.0000000000000000E+00,
  +4.3486999999999998E+03,  +4.3488000000000002E+03,  +1.2234962660000001E+03,  +2.4533759469012388E+01,  +1.0000000000000000E+00,
  +4.3488000000000002E+03,  +4.3488999999999996E+03,  +9.5720852009999999E+02,  +2.4544154765070523E+01,  +1.0000000000000000E+00,
  +4.3488999999999996E+03,  +4.3490000000000000E+03,  +1.9465147669999999E+03,  +2.4554440382064957E+01,  +1.0000000000000000E+00,
  +4.3490000000000000E+03,  +4.3491000000000004E+03,  +9.4549565489999998E+02,  +2.4564616537508115E+01,  +1.0000000000000000E+00,
  +4.3491000000000004E+03,  +4.3491999999999998E+03,  +1.9800668100000000E+03,  +2.4581325429695223E+01,  +1.0000000000000000E+00,
