 TIME                    ,¸ººÉ                     ,
  +4.3440000000000000E+03,  +1.2438447659999999E+03,
  +4.3441000000000004E+03,  +1.5038991460000000E+03,
  +4.3441999999999998E+03,  +1.6838990440000000E+03,
  +4.3443000000000002E+03,  +1.8756628890000000E+03,
  +4.3443999999999996E+03,  +1.4379653010000000E+03,
  +4.3445000000000000E+03,  +1.6578044390000000E+03,
  +4.3446000000000004E+03,  +1.2921627129999999E+03,
  +4.3446999999999998E+03,  +1.3968683710000000E+03,
  +4.3448000000000002E+03,  +1.0677555199999999E+03,
  +4.3448999999999996E+03,  +9.3383389339999997E+02,
  +4.3450000000000000E+03,  +1.6675826219999999E+03,
  +4.3451000000000004E+03,  +1.8826627880000001E+03,
  +4.3451999999999998E+03,  +1.0210722190000000E+03,
  +4.3453000000000002E+03,  +1.0800090250000001E+03,
  +4.3453999999999996E+03,  +1.1327598900000000E+03,
  +4.3455000000000000E+03,  +1.2786270800000000E+03,
  +4.3456000000000004E+03,  +9.1729390550000005E+02,
  +4.3456999999999998E+03,  +9.8236214050000001E+02,
  +4.3458000000000002E+03,  +1.4522810950000001E+03,
  +4.3458999999999996E+03,  +1.1133890230000000E+03,
  +4.3460000000000000E+03,  +1.1397510279999999E+03,
  +4.3461000000000004E+03,  +1.9509108170000000E+03,
  +4.3461999999999998E+03,  +1.5033047509999999E+03,
  +4.3463000000000002E+03,  +1.2115013819999999E+03,
  +4.3463999999999996E+03,  +1.2758227079999999E+03,
  +4.3465000000000000E+03,  +1.0978366240000000E+03,
  +4.3466000000000004E+03,  +1.4437608849999999E+03,
  +4.3466999999999998E+03,  +1.7337160750000000E+03,
  +4.3468000000000002E+03,  +1.2800338630000001E+03,
  +4.3468999999999996E+03,  +1.5771920500000001E+03,
  +4.3470000000000000E+03,  +1.2103992220000000E+03,
  +4.3471000000000004E+03,  +1.2666676239999999E+03,
  +4.3471999999999998E+03,  +9.9979725129999997E+02,
  +4.3473000000000002E+03,  +1.3163326050000001E+03,
  +4.3473999999999996E+03,  +1.0924091739999999E+03,
  +4.3475000000000000E+03,  +1.6234586820000000E+03,
  +4.3476000000000004E+03,  +1.3292617900000000E+03,
  +4.3476999999999998E+03,  +1.0372116300000000E+03,
  +4.3478000000000002E+03,  +1.9007125220000000E+03,
  +4.3478999999999996E+03,  +1.1313229510000001E+03,
  +4.3480000000000000E+03,  +1.1931482699999999E+03,
  +4.3481000000000004E+03,  +1.2520655970000000E+03,
  +4.3481999999999998E+03,  +1.3105703180000000E+03,
  +4.3483000000000002E+03,  +1.5017844720000001E+03,
  +4.3483999999999996E+03,  +1.2425441579999999E+03,
  +4.3485000000000000E+03,  +1.7905296740000001E+03,
  +4.3486000000000004E+03,  +1.5470522970000000E+03,
  +4.3486999999999998E+03,  +1.2234962660000001E+03,
  +4.3488000000000002E+03,  +9.5720852009999999E+02,
  +4.3488999999999996E+03,  +1.9465147669999999E+03,
  +4.3490000000000000E+03,  +9.4549565489999998E+02,
  +4.3491000000000004E+03,  +1.9800668100000000E+03,
  +4.3491999999999998E+03,  +1.5468883969999999E+03,
  +4.3493000000000002E+03,  +1.5865897279999999E+03,
  +4.3493999999999996E+03,  +1.2162557420000001E+03,
  +4.3495000000000000E+03,  +1.7821376120000000E+03,
  +4.3496000000000004E+03,  +9.9465324180000005E+02,
  +4.3496999999999998E+03,  +1.0900622710000000E+03,
  +4.3498000000000002E+03,  +1.0737010439999999E+03,
  +4.3498999999999996E+03,  +1.7844480880000001E+03,
  +4.3500000000000000E+03,  +1.9097741940000001E+03,
  +4.3501000000000004E+03,  +1.7564463330000001E+03,
  +4.3501999999999998E+03,  +1.6824847010000001E+03,
  +4.3503000000000002E+03,  +1.7363525460000001E+03,
  +4.3503999999999996E+03,  +1.3147666460000000E+03,
  +4.3505000000000000E+03,  +1.2126623159999999E+03,
  +4.3506000000000004E+03,  +1.1053241270000001E+03,
  +4.3506999999999998E+03,  +1.7511077490000000E+03,
  +4.3508000000000002E+03,  +1.4677297100000001E+03,
  +4.3508999999999996E+03,  +1.4421336460000000E+03,
  +4.3510000000000000E+03,  +1.8968985900000000E+03,
  +4.3511000000000004E+03,  +1.3822013640000000E+03,
  +4.3511999999999998E+03,  +1.8781180300000001E+03,
  +4.3513000000000002E+03,  +1.7280138870000001E+03,
  +4.3513999999999996E+03,  +1.0947803670000001E+03,
  +4.3515000000000000E+03,  +1.6089923269999999E+03,
  +4.3516000000000004E+03,  +1.1714402150000001E+03,
  +4.3516999999999998E+03,  +1.8879433489999999E+03,
  +4.3518000000000002E+03,  +1.2308917520000000E+03,
  +4.3518999999999996E+03,  +1.2551372590000001E+03,
  +4.3520000000000000E+03,  +3.3176608019999999E+03,
  +4.3521000000000004E+03,  +3.0928722819999998E+03,
  +4.3521999999999998E+03,  +3.6694658939999999E+03,
  +4.3523000000000002E+03,  +2.2043477509999998E+03,
  +4.3523999999999996E+03,  +4.6935261929999997E+03,
  +4.3525000000000000E+03,  +3.0326307800000000E+03,
  +4.3526000000000004E+03,  +3.0672879790000002E+03,
  +4.3526999999999998E+03,  +3.1170281530000002E+03,
  +4.3528000000000002E+03,  +4.3009013070000001E+03,
  +4.3528999999999996E+03,  +4.2739223629999997E+03,
  +4.3530000000000000E+03,  +4.5477165070000001E+03,
  +4.3531000000000004E+03,  +2.8624606330000001E+03,
  +4.3531999999999998E+03,  +4.3152529119999999E+03,
  +4.3533000000000002E+03,  +2.2006576810000001E+03,
  +4.3533999999999996E+03,  +3.1899003980000002E+03,
  +4.3535000000000000E+03,  +3.7887996760000001E+03,
  +4.3536000000000004E+03,  +3.0014075630000002E+03,
  +4.3536999999999998E+03,  +2.5622705590000000E+03,
  +4.3538000000000002E+03,  +3.2651422269999998E+03,
  +4.3538999999999996E+03,  +3.6666827929999999E+03,
  +4.3540000000000000E+03,  +2.8426566280000002E+03,
  +4.3541000000000004E+03,  +3.5375933120000000E+03,
  +4.3541999999999998E+03,  +3.8568784139999998E+03,
  +4.3543000000000002E+03,  +3.1363682650000001E+03,
  +4.3543999999999996E+03,  +4.3969415209999997E+03,
  +4.3545000000000000E+03,  +2.7149687340000000E+03,
  +4.3546000000000004E+03,  +3.2157953640000001E+03,
  +4.3546999999999998E+03,  +2.6183242180000002E+03,
  +4.3548000000000002E+03,  +4.4349458889999996E+03,
  +4.3548999999999996E+03,  +3.1441985020000002E+03,
  +4.3550000000000000E+03,  +2.5380362200000000E+03,
  +4.3551000000000004E+03,  +2.0374331390000000E+03,
  +4.3551999999999998E+03,  +3.3310733449999998E+03,
  +4.3553000000000002E+03,  +2.7448637859999999E+03,
  +4.3553999999999996E+03,  +2.9233406700000000E+03,
  +4.3555000000000000E+03,  +4.6206575180000000E+03,
  +4.3556000000000004E+03,  +4.2758747350000003E+03,
  +4.3556999999999998E+03,  +2.2046339400000002E+03,
  +4.3558000000000002E+03,  +4.1278401240000003E+03,
  +4.3558999999999996E+03,  +3.4346632399999999E+03,
  +4.3560000000000000E+03,  +3.5632414330000001E+03,
  +4.3561000000000004E+03,  +4.6274158060000000E+03,
  +4.3561999999999998E+03,  +2.8303725169999998E+03,
  +4.3563000000000002E+03,  +3.1416494980000002E+03,
  +4.3563999999999996E+03,  +4.9136374960000003E+03,
  +4.3565000000000000E+03,  +3.6352079399999998E+03,
  +4.3566000000000004E+03,  +2.5680644969999998E+03,
  +4.3566999999999998E+03,  +2.3175314819999999E+03,
  +4.3568000000000002E+03,  +4.5305773929999996E+03,
  +4.3568999999999996E+03,  +3.3231890730000000E+03,
  +4.3570000000000000E+03,  +2.8321265060000001E+03,
  +4.3571000000000004E+03,  +2.6515729580000002E+03,
  +4.3571999999999998E+03,  +4.9655255319999997E+03,
  +4.3573000000000002E+03,  +3.6772553590000002E+03,
  +4.3573999999999996E+03,  +3.8432070429999999E+03,
  +4.3575000000000000E+03,  +3.1639458300000001E+03,
  +4.3576000000000004E+03,  +4.0235909689999999E+03,
  +4.3576999999999998E+03,  +3.6972384560000000E+03,
  +4.3578000000000002E+03,  +2.8413591820000001E+03,
  +4.3578999999999996E+03,  +4.6124896269999999E+03,
  +4.3580000000000000E+03,  +2.9136367070000001E+03,
  +4.3581000000000004E+03,  +3.7498010439999998E+03,
  +4.3581999999999998E+03,  +4.5671509120000001E+03,
  +4.3583000000000002E+03,  +3.9809312310000000E+03,
  +4.3583999999999996E+03,  +4.3746839860000000E+03,
  +4.3585000000000000E+03,  +4.3353442510000004E+03,
  +4.3586000000000004E+03,  +2.5772293310000000E+03,
  +4.3586999999999998E+03,  +3.0005619250000000E+03,
  +4.3588000000000002E+03,  +4.3909225829999996E+03,
  +4.3588999999999996E+03,  +4.9069599760000001E+03,
  +4.3590000000000000E+03,  +4.5881081430000004E+03,
  +4.3591000000000004E+03,  +4.8801809350000003E+03,
  +4.3591999999999998E+03,  +3.3057030030000001E+03,
  +4.3593000000000002E+03,  +2.9382844850000001E+03,
  +4.3593999999999996E+03,  +2.2728363840000002E+03,
  +4.3595000000000000E+03,  +2.6048355080000001E+03,
  +4.3596000000000004E+03,  +2.7796864289999999E+03,
  +4.3596999999999998E+03,  +2.0864528570000002E+03,
  +4.3598000000000002E+03,  +2.4514494249999998E+03,
  +4.3598999999999996E+03,  +4.7029344010000004E+03,
  +4.3600000000000000E+03,  +1.1379610240000000E+03,
  +4.3601000000000004E+03,  +1.8482907860000000E+03,
  +4.3601999999999998E+03,  +9.5481999470000005E+02,
  +4.3603000000000002E+03,  +1.0054975240000000E+03,
  +4.3603999999999996E+03,  +1.9836139490000000E+03,
  +4.3605000000000000E+03,  +1.5603829330000001E+03,
  +4.3606000000000004E+03,  +1.5100009960000000E+03,
  +4.3606999999999998E+03,  +1.4272374130000001E+03,
  +4.3608000000000002E+03,  +1.9135827600000000E+03,
  +4.3608999999999996E+03,  +1.4781395760000000E+03,
  +4.3610000000000000E+03,  +9.2525998070000003E+02,
  +4.3611000000000004E+03,  +9.6764673089999997E+02,
  +4.3611999999999998E+03,  +1.8147516700000001E+03,
  +4.3613000000000002E+03,  +1.1832826090000001E+03,
  +4.3613999999999996E+03,  +1.6873596080000000E+03,
  +4.3615000000000000E+03,  +1.3606092480000000E+03,
  +4.3616000000000004E+03,  +1.9468652569999999E+03,
  +4.3616999999999998E+03,  +1.8531950629999999E+03,
  +4.3618000000000002E+03,  +1.3338467129999999E+03,
  +4.3618999999999996E+03,  +1.7055346000000000E+03,
  +4.3620000000000000E+03,  +1.0351437850000000E+03,
  +4.3621000000000004E+03,  +1.3892940659999999E+03,
  +4.3621999999999998E+03,  +1.3084290480000000E+03,
  +4.3623000000000002E+03,  +1.1282741420000000E+03,
  +4.3623999999999996E+03,  +1.1192873400000001E+03,
  +4.3625000000000000E+03,  +1.0682439859999999E+03,
  +4.3626000000000004E+03,  +1.5898458700000001E+03,
  +4.3626999999999998E+03,  +1.4253979390000000E+03,
  +4.3628000000000002E+03,  +1.4595189809999999E+03,
  +4.3628999999999996E+03,  +1.2030735709999999E+03,
  +4.3630000000000000E+03,  +9.5832773210000005E+02,
  +4.3631000000000004E+03,  +1.3040908059999999E+03,
  +4.3631999999999998E+03,  +1.8421389170000000E+03,
  +4.3633000000000002E+03,  +1.9038023330000001E+03,
  +4.3633999999999996E+03,  +1.3920733410000000E+03,
  +4.3635000000000000E+03,  +1.4807953640000001E+03,
  +4.3636000000000004E+03,  +1.8128354840000000E+03,
  +4.3636999999999998E+03,  +1.1789694609999999E+03,
  +4.3638000000000002E+03,  +1.8589595059999999E+03,
  +4.3638999999999996E+03,  +1.5279297260000001E+03,
  +4.3640000000000000E+03,  +1.2260526120000000E+03,
  +4.3641000000000004E+03,  +1.7743712109999999E+03,
  +4.3641999999999998E+03,  +9.0128496040000005E+02,
  +4.3643000000000002E+03,  +1.6849342220000001E+03,
  +4.3643999999999996E+03,  +1.1370739470000001E+03,
  +4.3645000000000000E+03,  +1.4871862030000000E+03,
  +4.3646000000000004E+03,  +9.8350131880000004E+02,
  +4.3646999999999998E+03,  +1.9057792649999999E+03,
  +4.3648000000000002E+03,  +1.8600724909999999E+03,
  +4.3648999999999996E+03,  +1.8046445830000000E+03,
  +4.3650000000000000E+03,  +1.5902960419999999E+03,
  +4.3651000000000004E+03,  +1.2813393830000000E+03,
  +4.3651999999999998E+03,  +1.2522791030000001E+03,
  +4.3653000000000002E+03,  +1.6705635219999999E+03,
  +4.3653999999999996E+03,  +9.6277301990000001E+02,
  +4.3655000000000000E+03,  +1.4470855810000000E+03,
  +4.3656000000000004E+03,  +1.4670986029999999E+03,
  +4.3656999999999998E+03,  +1.8578996199999999E+03,
  +4.3658000000000002E+03,  +1.4239312030000001E+03,
  +4.3658999999999996E+03,  +1.5043904910000001E+03,
  +4.3660000000000000E+03,  +1.1826361899999999E+03,
  +4.3661000000000004E+03,  +9.5408243059999995E+02,
  +4.3661999999999998E+03,  +1.6057920899999999E+03,
  +4.3663000000000002E+03,  +1.2077315990000000E+03,
  +4.3663999999999996E+03,  +1.8088381260000001E+03,
  +4.3665000000000000E+03,  +9.0845680579999998E+02,
  +4.3666000000000004E+03,  +1.8892042759999999E+03,
  +4.3666999999999998E+03,  +1.5632142240000001E+03,
  +4.3668000000000002E+03,  +9.8679197839999995E+02,
  +4.3668999999999996E+03,  +9.7491744370000004E+02,
  +4.3670000000000000E+03,  +1.9481486849999999E+03,
  +4.3671000000000004E+03,  +1.0650354809999999E+03,
  +4.3671999999999998E+03,  +1.9231584519999999E+03,
  +4.3673000000000002E+03,  +1.4408402690000000E+03,
  +4.3673999999999996E+03,  +1.3850251539999999E+03,
  +4.3675000000000000E+03,  +1.3114093550000000E+03,
  +4.3676000000000004E+03,  +1.6171666049999999E+03,
  +4.3676999999999998E+03,  +1.2669241410000000E+03,
  +4.3678000000000002E+03,  +1.8821750340000001E+03,
  +4.3678999999999996E+03,  +1.4979516260000000E+03,
  +4.3680000000000000E+03,  +1.0799143469999999E+03,
  +4.3681000000000004E+03,  +1.8607633850000000E+03,
  +4.3681999999999998E+03,  +1.2033176850000000E+03,
  +4.3683000000000002E+03,  +1.1543595539999999E+03,
  +4.3683999999999996E+03,  +1.1721743700000000E+03,
  +4.3685000000000000E+03,  +1.8330408060000000E+03,
  +4.3686000000000004E+03,  +1.5329208209999999E+03,
  +4.3686999999999998E+03,  +1.4033274560000000E+03,
  +4.3688000000000002E+03,  +1.6435992050000000E+03,
  +4.3688999999999996E+03,  +1.9491430350000001E+03,
  +4.3690000000000000E+03,  +1.2146587560000000E+03,
  +4.3691000000000004E+03,  +1.5090165480000001E+03,
  +4.3691999999999998E+03,  +1.2012307559999999E+03,
  +4.3693000000000002E+03,  +1.7029707559999999E+03,
  +4.3693999999999996E+03,  +1.6797575810000001E+03,
  +4.3695000000000000E+03,  +1.9128089339999999E+03,
  +4.3696000000000004E+03,  +1.6925101569999999E+03,
  +4.3696999999999998E+03,  +9.3232531129999995E+02,
  +4.3698000000000002E+03,  +1.0881296970000001E+03,
  +4.3698999999999996E+03,  +1.4401711170000001E+03,
  +4.3700000000000000E+03,  +9.2825012449999997E+02,
  +4.3701000000000004E+03,  +1.3519822600000000E+03,
  +4.3701999999999998E+03,  +1.0589869289999999E+03,
  +4.3703000000000002E+03,  +1.2562966280000001E+03,
  +4.3703999999999996E+03,  +1.6057435730000000E+03,
  +4.3705000000000000E+03,  +1.1687900190000000E+03,
  +4.3706000000000004E+03,  +1.5520515670000000E+03,
  +4.3706999999999998E+03,  +1.3668456830000000E+03,
